60;Campamento;Norte Antioqueño;Calle 9 N. 9 - 73;Lunes y martes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Campamento;;NO hay punto de entrega para tarjeta Somos
61;Carolina del Principe;Norte Antioqueño;Calle 50 N. 50 - 38;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Carolina del Principe;;NO hay punto de entrega para tarjeta Somos
62;Gómez Plata;Norte Antioqueño;Carrera 51 N. 51 - 55;Lunes, miércoles y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Gómez Plata;;NO hay punto de entrega para tarjeta Somos
63;Guadalupe;Norte Antioqueño;Carrera 50 N. 49 - 37;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Guadalupe;;NO hay punto de entrega para tarjeta Somos
64;Ituango;Norte Antioqueño;Carrera 19 N. 17 - 06;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Ituango;;NO hay punto de entrega para tarjeta Somos
65;San Andrés de Cuerquia;Norte Antioqueño;Carrera 28 N. 29 - 02;Lunes, martes y miércoles de 7:30 a. m. a 11:30 a. m. y de 01:00 p.m. a 05:00 p.m.;San Andrés de Cuerquia;;NO hay punto de entrega para tarjeta Somos
66;San José de la Montaña;Norte Antioqueño;Calle 19 N. 19 - 43;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. 05:00 p.m.;San José de la Montaña;;NO hay punto de entrega para tarjeta Somos
67;Toledo;Norte Antioqueño;Calle 10 N. 10 - 03;Jueves y viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Toledo;;NO hay punto de entrega para tarjeta Somos
68;Valdivia;Norte Antioqueño;Carrera 10 N. 10 - 26;Lunes a jueves de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Valdivia;;NO hay punto de entrega para tarjeta Somos
69;Caucasia;Norte Antioqueño y Bajo Cauca;Carrera 5 N. 24 - 28;Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Caucasia;;SI hay punto de entrega para tarjeta Somos
70;Don Matías;Norte Antioqueño y Bajo Cauca;Carrera 32 N. 29 - 69;Lunes a viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Don Matías;;SI hay punto de entrega para tarjeta Somos
71;Entrerrios;Norte Antioqueño y Bajo Cauca;Calle 10 N. 12 - 25 Centro Comercial Capilla del Rio local 109;Lunes, jueves y viernes de 7:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 5:00 p.m.;Entrerrios;;SI hay punto de entrega para tarjeta Somos
72;San Pedro De Los Milagros;Norte Antioqueño y Bajo Cauca;Carrera. 49 No 47-33 - calle abajo;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;San Pedro De Los Milagros;;SI hay punto de entrega para tarjeta Somos
73;Santa Rosa de Osos;Norte Antioqueño y Bajo Cauca;Carrera 31 N. 29 - 17;Lunes a viernes de 7:30 a. m. a 11:30 p. m. y de 1:00 p. m. a 5:00 p.m.;Santa Rosa De Osos;;SI hay punto de entrega para tarjeta Somos
74;Yarumal;Norte Antioqueño y Bajo Cauca;Carrera 19 N. 20 - 60;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Yarumal;;SI hay punto de entrega para tarjeta Somos
75;Cañas Gordas;Occidente Antioqueño;Carrera 30 N. 25 - 45 Parque Los Libertadores;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Cañas Gordas;;SI hay punto de entrega para tarjeta Somos
76;Frontino;Occidente Antioqueño;Calle 30 N. 29 - 21 Local 2;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m. Nota: Oficina cerrada el 26 de noviembre de 2020 por apoyo en la sede de Abriaquí.;Frontino;;SI hay punto de entrega para tarjeta Somos
77;Santa Fe de Antioquia;Occidente Antioqueño;Calle 9 N. 1 - 179;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Santa Fe De Antioquia;;SI hay punto de entrega para tarjeta Somos
78;Abriaquí;Occidente Antioqueño;CR 10 N. 10 - 08;Marzo 2022: Jueves 3, 17 y 31 de 8:00 a.m. a 12:00 p.m. y 1:00 p.m. a 3:30 p.m.;Abriaquí;;NO hay punto de entrega para tarjeta Somos
79;Anzá;Occidente Antioqueño;Calle 11 N. 10 - 40;Lunes a Viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.;Anzá;;NO hay punto de entrega para tarjeta Somos
80;Armenia;Occidente Antioqueño;Calle 10 N. 8 - 09 Frente al Banco Agrario;Martes y jueves de 09:00 a.m. a 12:00 m. y de 01:00 p.m. a 03:30 p.m.;Armenia;;NO hay punto de entrega para tarjeta Somos
81;Buriticá;Occidente Antioqueño;Carrera 4 N. 4 -38;Lunes a viernes de 7:30 a. m. a 11:30 a. m. y de 1:00 p. m. a 5:00 p.m.;Buriticá;;NO hay punto de entrega para tarjeta Somos
